TransactionID,Date,AssetID,Type,Quantity,PricePerUnit,TotalValue
80,9/19/2025,4,sell,25,771.37,19284.25
81,11/19/2025,8,buy,33,247.7,8174.1
82,6/8/2025,2,sell,89,1973.8,175668.2
83,11/22/2025,9,buy,11,1118.58,12304.38
84,7/5/2025,7,sell,41,1646.21,67494.61
85,8/20/2025,3,sell,93,408.97,38034.21
86,11/11/2025,9,sell,33,1662.82,54873.06
87,7/20/2025,1,sell,21,1478.87,31056.27
88,9/12/2025,5,buy,59,894.66,52784.94
89,10/10/2025,7,sell,44,,
90,6/2/2025,3,sell,42,150.1,6304.2
91,10/12/2025,3,sell,42,1640.05,68882.1
92,7/24/2025,6,buy,70,385.79,27005.3
93,9/14/2025,8,sell,60,823.69,49421.4
94,6/4/2025,1,buy,52,1700.03,88401.56
95,7/24/2025,6,sell,21,990.52,20800.92
96,10/24/2025,3,buy,76,,
97,7/14/2025,9,buy,74,1742.97,128979.78
98,11/9/2025,2,sell,42,1999.46,83977.32
99,6/14/2025,2,buy,49,1155.32,56610.68
100,9/3/2025,3,sell,83,1895.05,157289.15
101,7/18/2025,9,sell,52,569.96,29637.92
102,6/15/2025,4,sell,53,345.4,18306.2
103,7/10/2025,5,buy,38,1251.73,47565.74
104,8/21/2025,8,buy,22,1376.23,30277.06
105,9/19/2025,7,sell,21,,
106,7/23/2025,1,sell,55,1375.99,75679.45
107,6/24/2025,3,buy,11,1567.4,17241.4
108,11/1/2025,6,sell,44,1719.14,75642.16
109,10/2/2025,6,sell,96,1165.78,111914.88
110,7/11/2025,3,sell,90,,
111,11/4/2025,2,buy,99,154.69,15314.31
112,6/15/2025,1,buy,17,1278.59,21736.03
113,7/15/2025,1,buy,35,,
114,8/4/2025,3,sell,83,127.63,10593.29
115,8/28/2025,,sell,99,1220.84,120863.16
116,8/10/2025,5,sell,43,931.2,40041.6
117,6/9/2025,9,buy,16,761.69,12187.04
118,8/27/2025,1,sell,77,1588.94,122348.38
119,10/7/2025,3,sell,67,1281.96,85891.32
120,10/14/2025,4,sell,84,,
121,8/2/2025,5,sell,38,1860.52,70699.76
122,10/17/2025,1,buy,45,590.66,26579.7
123,8/20/2025,2,buy,98,1962.06,192281.88
124,10/14/2025,6,sell,30,724.63,21738.9
125,11/10/2025,,buy,45,,
